"","Nombre","Equipo & Posicion","Peso","Altura","Nacionalidad","Juegos Jugados","Juegos Titular","Goles","Autogoles","Minutos Jugados","Tarjetas Amarillas","Tarjetas Rojas"
"1","José de Jesús Corona Rodríguez","Portero en Cruz Azul (LIGA MX)","84 kg","1.84","Mexicano","10","10",NA,"0","900","2",NA
"2","Guillermo Allison Revuelta","Portero en Cruz Azul (LIGA MX) para Apertura 2018 - Clausura 2021","92 kg","1.92","Mexicano",NA,NA,NA,"0",NA,NA,NA
"3","Andrés Guillermo Gudiño Portillo","Portero en Cruz Azul (LIGA MX) para Apertura 2019 - Clausura 2022","86 kg","1.83","Mexicano",NA,NA,NA,"0",NA,NA,NA
"4","Sebastián Jurado Roca","Portero en Cruz Azul (LIGA MX) para Clausura 2020 - Apertura 2022","83 kg","1.88","Mexicano",NA,NA,NA,"0",NA,NA,NA
"5","Jaiber Jiménez Ramírez","Defensa Lateral en Cruz Azul (LIGA MX) para Apertura 2019 - Clausura 2022","73 kg","1.73","Mexicano","2",NA,NA,"0","46",NA,NA
"6","Julio César Domínguez Juárez","Defensa en Cruz Azul (LIGA MX)","70 kg","1.75","Mexicano","10","10","1","0","899","1",NA
"7","Igor Lichnovsky Osorio","Defensa Central en Cruz Azul (LIGA MX) para Apertura 2018 - Clausura 2021","72 kg","1.86","Chileno","4","3",NA,"0","261","1",NA
"8","Luis Francisco Romo Barrón","Defensa Central en Cruz Azul (LIGA MX) para Clausura 2020 - Apertura 2022","84 kg","1.82","Mexicano","9","9","2","0","810","1",NA
"9","Adrián Alexei Aldrete Rodríguez","Defensa Lateral en Cruz Azul (LIGA MX) para Apertura 2018 - Clausura 2021","75 kg","1.77","Mexicano","9","9","2","0","810","1",NA
"10","Pablo César Aguilar Benítez","Defensa Central en Cruz Azul (LIGA MX) para Apertura 2018 - Clausura 2021","78 kg","1.78","Mexicano","6","6",NA,"0","540","2",NA
"11","Juan Marcelo Escobar Chena","Defensa Central en Cruz Azul (LIGA MX) para Apertura 2019 - Clausura 2022","76 kg","1.77","Paraguayo","8","7","1","0","664","1",NA
"12","Pablo Daniel Ceppelini Gatto","Medio Ofensivo en Cruz Azul (LIGA MX) para Clausura 2020 - Apertura 2022","72 kg","1.8","Uruguayo","5","1",NA,"0","111",NA,"1"
"13","Alex Stik Castro Giraldo","Medio Ofensivo en Cruz Azul (LIGA MX) para Clausura 2020 - Apertura 2022","70 kg","1.7","Colombiano","5","1",NA,"0","159",NA,NA
"14","Elías Hernán Hernández Jacuinde","Medio Ofensivo en Cruz Azul (LIGA MX) para Apertura 2018 - Clausura 2021","70 kg","1.71","Mexicano","10","10","4","0","878",NA,NA
"15","Josué Misael Domínguez González","Medio en Cruz Azul (LIGA MX)","53 kg","1.59","Mexicano","2",NA,NA,"0","19",NA,NA
