"","X","Nombre","Equipo...Posicion","Peso","Altura","Nacionalidad","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"1",1,"José de Jesús Corona Rodríguez","Cruz Azul ",84,1.84,"Mexicano",10,10,0,900,2,0
"2",2,"Guillermo Allison Revuelta","Cruz Azul ",92,1.92,"Mexicano",0,0,0,0,0,0
"3",3,"Andrés Guillermo Gudiño Portillo","Cruz Azul ",86,1.83,"Mexicano",0,0,0,0,0,0
"4",4,"Sebastián Jurado Roca","Cruz Azul ",83,1.88,"Mexicano",0,0,0,0,0,0
"5",5,"Jaiber Jiménez Ramírez","Cruz Azul ",73,1.73,"Mexicano",2,0,0,46,0,0
"6",6,"Julio César Domínguez Juárez","Cruz Azul ",70,1.75,"Mexicano",10,10,1,899,1,0
"7",7,"Igor Lichnovsky Osorio","Cruz Azul ",72,1.86,"Chileno",4,3,0,261,1,0
"8",8,"Luis Francisco Romo Barrón","Cruz Azul ",84,1.82,"Mexicano",9,9,2,810,1,0
"9",9,"Adrián Alexei Aldrete Rodríguez","Cruz Azul ",75,1.77,"Mexicano",9,9,2,810,1,0
"10",10,"Pablo César Aguilar Benítez","Cruz Azul ",78,1.78,"Mexicano",6,6,0,540,2,0
"11",11,"Juan Marcelo Escobar Chena","Cruz Azul ",76,1.77,"Paraguayo",8,7,1,664,1,0
"12",12,"Pablo Daniel Ceppelini Gatto","Cruz Azul ",72,1.8,"Uruguayo",5,1,0,111,0,1
"13",13,"Alex Stik Castro Giraldo","Cruz Azul ",70,1.7,"Colombiano",5,1,0,159,0,0
"14",14,"Elías Hernán Hernández Jacuinde","Cruz Azul ",70,1.71,"Mexicano",10,10,4,878,0,0
"15",15,"Josué Misael Domínguez González","Cruz Azul ",53,1.59,"Mexicano",2,0,0,19,0,0
"16",16,"Víctor Yoshimar Yotun Flores","Cruz Azul ",68,1.73,"Peruano",3,2,0,182,0,0
"17",17,"Alexis Hazael Gutiérrez Torres","Cruz Azul ",74,1.73,"Mexicano",1,1,0,63,0,0
"18",18,"Rafael Baca Miranda","Cruz Azul ",66,1.73,"Mexicano",10,10,0,869,4,0
"19",19,"Roberto Carlos Alvarado Hernández","Cruz Azul ",70,1.76,"Mexicano",10,10,2,774,1,0
"20",20,"Orbelín Pineda Alvarado","Cruz Azul ",63.3,1.69,"Mexicano",8,4,1,353,0,1
"21",21,"Jonathan Darwin Borja Colorado","Cruz Azul ",70,1.78,"Ecuatoriano",1,0,0,13,0,0
"22",22,"Milton Joel Caraglio ","Cruz Azul ",92,1.87,"Argentino",0,0,0,0,0,0
"23",23,"Lucas Giuliano Passerini ","Cruz Azul ",81,1.89,"Argentino",4,0,0,33,0,0
"24",24,"Jonathan Javier Rodríguez Portillo","Cruz Azul ",79,1.77,"Uruguayo",10,10,9,861,1,0
"25",25,"Santiago Tomás Giménez ","Cruz Azul ",69,1.82,"Mexicano",9,7,2,537,1,0
"34",34,"Guillermo Pozos Guevara","León ",76,1.8,"Mexicano",0,0,0,0,0,0
"35",35,"Rodolfo Cota Robles","León ",85.8,1.83,"Mexicano",10,10,0,900,2,0
"36",36,"Sebastián Andrés Fassi Álvarez","León ",80,1.86,"Mexicano",0,0,0,0,0,0
"37",37,"Gil Giovanni Burón Morales","León ",67,1.68,"Mexicano",4,3,0,271,0,0
"38",38,"Fernando Navarro Morán","León ",64.5,1.68,"Mexicano",8,8,1,674,0,0
"39",39,"William José Tesillo Gutiérrez","León ",62,1.66,"Colombiano",9,9,1,810,0,0
"40",40,"Miguel Ángel Herrera Equihua","León ",81,1.83,"Mexicano",3,2,0,189,0,0
"41",41,"Ramiro Gabriel González Hernández","León ",79,1.82,"Argentino",2,2,0,180,0,0
"42",42,"Osvaldo Rodríguez del Portal","León ",74.5,1.75,"Mexicano",5,2,0,261,2,0
"43",43,"Jaine Stiven Barreiro Solis","León ",80,1.89,"Colombiano",8,8,0,720,3,0
"44",44,"Juan Ignacio González Ibarra","León ",83.6,1.88,"Mexicano",2,2,0,141,1,0
"45",45,"Luis Arturo Montes Jiménez","León ",67.9,1.66,"Mexicano",9,8,2,714,0,0
"46",46,"Yairo Yesid Moreno Berrio","León ",70,1.77,"Colombiano",7,7,0,566,1,0
"47",47,"José Iván Rodríguez Rebollar","León ",60.9,1.71,"Mexicano",3,1,0,95,0,0
"48",48,"Ángel Israel Mena Delgado","León ",71,1.68,"Ecuatoriano",10,10,8,870,4,0
"49",49,"Jean David Meneses Villarroel","León ",65.1,1.63,"Chileno",10,10,4,863,0,0
"50",50,"Pedro Jesús Aquino Sánchez","León ",71,1.75,"Peruano",9,8,0,710,3,1
"51",51,"Jown Anderson Cardona Agudelo","León ",65,1.69,"Colombiano",1,0,0,9,0,0
"52",52,"Víctor Ismael Sosa ","León ",75,1.79,"Argentino",9,7,2,589,0,0
"53",53,"Joel Nathaniel Campbell Samuels","León ",78,1.78,"Costarricense",7,1,1,241,0,0
"54",54,"Leonardo Javier Ramos ","León ",84.1,1.85,"Argentino",8,8,3,613,0,0
"55",55,"José de Jesús Godínez Navarro","León ",79,1.83,"Mexicano",4,0,0,88,0,0
"56",56,"Iván Fernando Ochoa Chávez","León ",76,1.78,"Mexicano",0,0,0,0,0,0
"57",57,"Nicolás Sosa Sánchez","León ",66.03,1.77,"Uruguayo",2,0,0,10,0,0
"66",66,"Jonathan Emmanuel Orozco Domínguez","Santos Laguna ",81,1.84,"Mexicano",10,10,0,900,0,0
"67",67,"Carlos Acevedo López","Santos Laguna ",74,1.84,"Mexicano",0,0,0,0,0,0
"68",68,"Josecarlos Van Rankin Galland","Santos Laguna ",73,1.78,"Mexicano",10,10,0,893,2,0
"69",69,"Félix Eduardo Torres Caicedo","Santos Laguna ",77,1.87,"Ecuatoriano",6,6,0,540,2,0
"70",70,"Gerardo Daniel Arteaga Zamora","Santos Laguna ",64,1.74,"Mexicano",10,10,0,900,2,0
"71",71,"Hugo Isaác Rodríguez de la O","Santos Laguna ",80,1.83,"Mexicano",6,6,1,538,2,1
"72",72,"Matheus Doria Macedo","Santos Laguna ",82,1.88,"Brasileño",8,8,1,653,1,0
"73",73,"Alan Jhosué Cervantes Martín del Campo","Santos Laguna ",68.6,1.81,"Mexicano",3,0,0,19,0,0
"74",74,"Brayan Eduardo Garnica Cortés","Santos Laguna ",60,1.67,"Mexicano",0,0,0,0,0,0
"75",75,"Carlos Emilio Orrantia Treviño","Santos Laguna ",63,1.76,"Mexicano",6,5,0,414,0,0
"76",76,"Diego Alfonso Valdés Contreras","Santos Laguna ",75,1.79,"Chileno",10,3,1,452,1,0
"77",77,"Fernando Gorriarán Fontes","Santos Laguna ",68,1.68,"Uruguayo",10,10,0,900,3,0
"78",78,"David Alfredo Andrade Gómez","Santos Laguna ",64,1.68,"Mexicano",0,0,0,0,0,0
"79",79,"Brian Avelino Lozano Aparicio","Santos Laguna ",67,1.67,"Uruguayo",10,10,3,900,4,0
"80",80,"Ulíses Rivas Gilio","Santos Laguna ",72,1.76,"Mexicano",10,10,0,830,2,0
"81",81,"Julio César Furch ","Santos Laguna ",88,1.88,"Argentino",10,10,3,818,2,0
"82",82,"Eryc Leonel Castillo Arroyo","Santos Laguna ",77,1.74,"Ecuatoriano",8,5,0,464,0,0
"83",83,"Eduar Ayrton Preciado García","Santos Laguna ",72,1.81,"Ecuatoriano",2,0,0,16,0,0
"84",84,"Eduardo Daniel Aguirre Lara","Santos Laguna ",75,1.76,"Mexicano",9,7,3,490,0,0
"85",85,"Raúl Octavio Rivero Falero","Santos Laguna ",84,1.85,"Uruguayo",7,0,1,104,0,0
"95",95,"Francisco Guillermo Ochoa Magaña","América ",85,1.9,"Mexicano",10,10,0,900,0,0
