"","Peso","Altura","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"1",84,1.84,10,10,0,900,2,0
"2",92,1.92,0,0,0,0,0,0
"3",86,1.83,0,0,0,0,0,0
"4",83,1.88,0,0,0,0,0,0
"5",73,1.73,2,0,0,46,0,0
"6",70,1.75,10,10,1,899,1,0
"7",72,1.86,4,3,0,261,1,0
"8",84,1.82,9,9,2,810,1,0
"9",75,1.77,9,9,2,810,1,0
"10",78,1.78,6,6,0,540,2,0
"11",76,1.77,8,7,1,664,1,0
"12",72,1.8,5,1,0,111,0,1
"13",70,1.7,5,1,0,159,0,0
"14",70,1.71,10,10,4,878,0,0
"15",53,1.59,2,0,0,19,0,0
"16",68,1.73,3,2,0,182,0,0
"17",74,1.73,1,1,0,63,0,0
"18",66,1.73,10,10,0,869,4,0
"19",70,1.76,10,10,2,774,1,0
"20",63.3,1.69,8,4,1,353,0,1
"21",70,1.78,1,0,0,13,0,0
"22",92,1.87,0,0,0,0,0,0
"23",81,1.89,4,0,0,33,0,0
"24",79,1.77,10,10,9,861,1,0
"25",69,1.82,9,7,2,537,1,0
"26",76,1.8,0,0,0,0,0,0
"27",85.8,1.83,10,10,0,900,2,0
"28",80,1.86,0,0,0,0,0,0
"29",67,1.68,4,3,0,271,0,0
"30",64.5,1.68,8,8,1,674,0,0
"31",62,1.66,9,9,1,810,0,0
"32",81,1.83,3,2,0,189,0,0
"33",79,1.82,2,2,0,180,0,0
"34",74.5,1.75,5,2,0,261,2,0
"35",80,1.89,8,8,0,720,3,0
"36",83.6,1.88,2,2,0,141,1,0
"37",67.9,1.66,9,8,2,714,0,0
"38",70,1.77,7,7,0,566,1,0
"39",60.9,1.71,3,1,0,95,0,0
"40",71,1.68,10,10,8,870,4,0
"41",65.1,1.63,10,10,4,863,0,0
"42",71,1.75,9,8,0,710,3,1
"43",65,1.69,1,0,0,9,0,0
"44",75,1.79,9,7,2,589,0,0
"45",78,1.78,7,1,1,241,0,0
"46",84.1,1.85,8,8,3,613,0,0
"47",79,1.83,4,0,0,88,0,0
"48",76,1.78,0,0,0,0,0,0
"49",66.03,1.77,2,0,0,10,0,0
"50",81,1.84,10,10,0,900,0,0
"51",74,1.84,0,0,0,0,0,0
"52",73,1.78,10,10,0,893,2,0
"53",77,1.87,6,6,0,540,2,0
"54",64,1.74,10,10,0,900,2,0
"55",80,1.83,6,6,1,538,2,1
"56",82,1.88,8,8,1,653,1,0
"57",68.6,1.81,3,0,0,19,0,0
"58",60,1.67,0,0,0,0,0,0
"59",63,1.76,6,5,0,414,0,0
"60",75,1.79,10,3,1,452,1,0
"61",68,1.68,10,10,0,900,3,0
"62",64,1.68,0,0,0,0,0,0
"63",67,1.67,10,10,3,900,4,0
"64",72,1.76,10,10,0,830,2,0
"65",88,1.88,10,10,3,818,2,0
"66",77,1.74,8,5,0,464,0,0
"67",72,1.81,2,0,0,16,0,0
"68",75,1.76,9,7,3,490,0,0
"69",84,1.85,7,0,1,104,0,0
"70",85,1.9,10,10,0,900,0,0
"71",77.8,1.82,0,0,0,0,0,0
"72",70,1.76,9,8,2,785,1,0
"73",71,1.75,4,4,0,272,0,1
"74",76.6,1.8,1,0,0,38,0,0
"75",68,1.71,6,3,0,253,0,0
"76",78,1.79,8,8,1,645,1,1
"77",87.8,1.87,10,10,0,900,1,0
"78",67,1.8,10,10,0,897,4,0
"79",80,1.9,3,2,0,182,0,0
"80",84,1.8,5,2,0,197,0,1
"81",63,1.63,9,5,1,453,2,0
"82",70,1.75,8,5,2,389,0,0
"83",73,1.77,0,0,0,0,0,0
"84",65.8,1.74,7,6,0,531,0,0
"85",70,1.7,10,10,0,893,0,0
"86",66,1.72,2,0,0,5,0,0
"87",70,1.7,9,7,0,633,2,0
"88",75,1.72,0,0,0,0,0,0
"89",70,1.7,0,0,0,0,0,0
"90",86,1.8,2,0,0,40,0,0
"91",75,1.75,8,7,0,569,1,0
"92",81,1.79,1,0,0,15,0,0
"93",73.3,1.77,8,7,2,617,1,0
"94",80,1.8,5,4,3,332,1,0
"95",91.9,1.96,0,0,0,0,0,0
"96",86,1.86,10,10,0,900,1,0
"97",83,1.89,0,0,0,0,0,0
"98",66,1.77,4,2,0,229,1,0
"99",81.1,1.85,4,2,0,263,0,0
"100",83,1.76,9,9,0,810,2,0
"101",67.5,1.68,7,7,0,575,2,0
"102",73.7,1.82,10,10,0,840,1,0
"103",66.7,1.73,3,2,0,205,0,0
"104",82.3,1.86,0,0,0,0,0,0
"105",77.9,1.82,8,8,0,720,2,0
"106",70.9,1.71,4,1,0,128,0,0
"107",66.6,1.67,8,6,2,463,0,0
"108",65.6,1.71,10,8,0,715,1,0
"109",61,1.74,9,7,0,645,0,0
"110",62.3,1.72,7,1,0,178,0,0
"111",77,1.86,10,10,2,850,4,0
"112",63,1.66,4,0,0,101,0,0
"113",64,1.63,10,10,2,824,4,0
"114",63.5,1.65,0,0,0,0,0,0
"115",77.3,1.73,7,7,2,502,1,1
"116",76,1.78,8,7,4,616,0,0
"117",74,1.8,4,2,0,138,1,1
"118",71.7,1.78,2,1,1,112,1,0
"119",78,1.83,10,10,0,900,1,0
"120",82,1.83,0,0,0,0,0,0
"121",71,1.81,0,0,0,0,0,0
"122",71,1.75,10,10,0,888,3,0
"123",75.7,1.8,9,9,1,765,2,1
"124",72.1,1.85,10,10,1,900,5,0
"125",61.2,1.77,0,0,0,0,0,0
"126",82.2,1.87,2,1,1,125,1,0
"127",69,1.78,10,10,0,810,4,0
"128",75.8,1.75,0,0,0,0,0,0
"129",75.1,1.8,0,0,0,0,0,0
"130",78.8,1.77,9,9,1,810,1,0
"131",74,1.7,8,2,1,355,0,0
"132",68,1.7,4,1,0,170,1,0
"133",74,1.73,10,8,1,596,1,1
"134",70.4,1.75,7,5,2,415,0,0
"135",60,1.73,0,0,0,0,0,0
"136",74.3,1.84,10,8,2,657,4,0
"137",74.8,1.74,10,10,1,736,1,0
"138",76.9,1.77,0,0,0,0,0,0
"139",84,1.87,8,2,4,322,0,0
"140",80,1.83,10,10,4,900,1,0
"141",93.5,1.93,10,10,0,900,0,0
"142",84,1.91,0,0,0,0,0,0
"143",74.2,1.93,0,0,0,0,0,0
"144",77,1.88,5,4,0,405,1,0
"145",81,1.83,6,6,0,495,0,0
"146",81.4,1.82,4,2,0,182,0,0
"147",78.3,1.87,1,0,0,84,0,0
"148",70,1.78,1,0,0,15,0,0
"149",61.9,1.69,6,3,0,302,1,0
